Name,Term,ES,NES
TCGA-A7-A0DB-11A,OXPHOS,26450.39187061803,1.2097219478656076
TCGA-EW-A1J6-01A,OXPHOS,26449.56463891062,1.209684114008275
TCGA-AQ-A54N-01A,OXPHOS,26449.130599317657,1.209664262989643
TCGA-PL-A8LY-01A,OXPHOS,26448.85997804736,1.209651885990019
TCGA-B6-A0IK-01A,OXPHOS,26447.036364628813,1.2095684821150356
TCGA-LL-A50Y-01A,OXPHOS,26444.415202109816,1.2094486019316468
TCGA-A2-A0SW-01A,OXPHOS,26442.499428283412,1.209360983054154
TCGA-A2-A04U-01A,OXPHOS,26441.255290097444,1.209304081769776
TCGA-A8-A08J-01A,OXPHOS,26441.15837932201,1.2092996495068211
TCGA-E9-A1RE-01A,OXPHOS,26440.768876946633,1.2092818354201889
TCGA-A8-A07R-01A,OXPHOS,26439.86932794255,1.2092406940949965
TCGA-AN-A03Y-01A,OXPHOS,26439.676933062114,1.2092318948185752
TCGA-A2-A0CQ-01A,OXPHOS,26439.589047210073,1.2092278753150214
TCGA-AR-A256-01A,OXPHOS,26438.468050885538,1.2091766059854818
TCGA-LL-A5YO-01A,OXPHOS,26438.14762302576,1.2091619510564895
TCGA-E2-A158-11A,OXPHOS,26437.17602361342,1.2091175144697128
TCGA-GM-A2D9-01A,OXPHOS,26436.391989695105,1.2090816562849456
TCGA-BH-A0HB-01A,OXPHOS,26436.36798215963,1.209080558288261
TCGA-D8-A1Y2-01A,OXPHOS,26435.40237613001,1.209036395811851
TCGA-B6-A0IN-01A,OXPHOS,26435.34665164953,1.2090338472247677
TCGA-A2-A3XT-01A,OXPHOS,26434.972777840772,1.209016747918474
TCGA-BH-A1F6-11B,Mesenchymal,26434.82744903984,1.2090101012328216
TCGA-C8-A1HN-01A,OXPHOS,26434.204344669623,1.2089816032417087
TCGA-E9-A2JS-01A,OXPHOS,26433.055499087448,1.2089290602123932
TCGA-C8-A130-01A,OXPHOS,26432.89058447689,1.2089215177599073
TCGA-A2-A0D0-01A,OXPHOS,26430.891456490688,1.2088300866380801
TCGA-C8-A1HF-01A,OXPHOS,26427.95934101864,1.2086959848653138
TCGA-A8-A07Z-01A,OXPHOS,26427.481661787624,1.2086741379659323
TCGA-BH-A1FE-06A,OXPHOS,26427.450372826013,1.2086727069495689
TCGA-C8-A1HL-01A,OXPHOS,26425.35308881899,1.208576786612864
TCGA-AO-A0JB-01A,OXPHOS,26425.025008133747,1.208561781678058
TCGA-C8-A12P-01A,OXPHOS,26424.809907101684,1.2085519439243957
TCGA-GM-A5PX-01A,OXPHOS,26423.886173810155,1.2085096965186786
TCGA-BH-A0BJ-01A,OXPHOS,26423.023860461435,1.208470258184873
TCGA-5L-AAT1-01A,OXPHOS,26419.988820453884,1.2083314491068167
TCGA-A7-A0DB-11A,Mesenchymal,26419.811179796678,1.2083233246222003
TCGA-E2-A576-01A,OXPHOS,26416.66602406475,1.2081794793462217
TCGA-AC-A7VC-01A,OXPHOS,26415.981426024817,1.20814816891126
TCGA-BH-A0AY-01A,OXPHOS,26415.952870139587,1.2081468628935166
TCGA-HN-A2NL-01A,OXPHOS,26414.123289505766,1.2080631861049478
TCGA-A2-A0SV-01A,OXPHOS,26413.56648956316,1.2080377205801103
TCGA-E2-A10C-01A,OXPHOS,26413.19939568673,1.2080209313574244
TCGA-BH-A18G-01A,OXPHOS,26412.73168162132,1.2079995402198935
TCGA-AO-A1KQ-01A,OXPHOS,26411.450409222693,1.2079409405836614
TCGA-AC-A6IW-01A,OXPHOS,26410.95265025225,1.207918175327319
TCGA-E2-A15E-06A,OXPHOS,26410.062207528532,1.2078774504824294
TCGA-A2-A0CS-01A,OXPHOS,26408.860139702203,1.2078224733070648
TCGA-A2-A0T0-01A,OXPHOS,26408.12695309162,1.2077889406494378
TCGA-AN-A0AJ-01A,OXPHOS,26407.674843465462,1.2077682631887678
TCGA-A2-A0CP-01A,OXPHOS,26405.342968993587,1.2076616137394103
TCGA-D8-A27N-01A,OXPHOS,26404.978154260218,1.2076449287544762
TCGA-AC-A3TN-01A,OXPHOS,26403.19786685506,1.2075635064164607
TCGA-E9-A1RI-11A,OXPHOS,26402.199976709264,1.207517867409794
TCGA-A2-A4RX-01A,EMT,26401.237809930542,1.2074738622292498
TCGA-A8-A08A-01A,OXPHOS,26399.739973767508,1.2074053579405575
TCGA-AN-A0AR-01A,OXPHOS,26399.448163647325,1.207392011858249
TCGA-AN-A0FK-01A,OXPHOS,26399.104761150207,1.207376306172687
TCGA-D8-A27W-01A,OXPHOS,26398.018843393813,1.2073266411790675
TCGA-EW-A1P0-01A,OXPHOS,26396.79507336101,1.2072706714423973
TCGA-A8-A099-01A,OXPHOS,26396.32857285404,1.2072493358075707
TCGA-B6-A409-01A,OXPHOS,26394.13443642759,1.2071489858768525
TCGA-BH-A0BT-01A,OXPHOS,26394.021629214105,1.2071438265823249
TCGA-BH-A0E1-01A,OXPHOS,26393.84064533228,1.2071355491936522
TCGA-A8-A09T-01A,OXPHOS,26393.01444807607,1.2070977626474644
TCGA-A8-A06X-01A,OXPHOS,26390.46824391548,1.2069813107222196
TCGA-A8-A06T-01A,OXPHOS,26389.971692782638,1.2069586007069362
TCGA-V7-A7HQ-01A,OXPHOS,26389.816278886723,1.2069514927744032
TCGA-AO-A1KT-01A,OXPHOS,26388.06064133815,1.2068711978099507
TCGA-OL-A66N-01A,OXPHOS,26387.074807049412,1.206826110183957
TCGA-OL-A5RZ-01A,OXPHOS,26385.79973059661,1.206767793922417
TCGA-A8-A08P-01A,OXPHOS,26385.672205197065,1.2067619614842628
TCGA-BH-A0H7-11A,OXPHOS,26385.335799722754,1.2067465758110507
TCGA-AN-A0FN-01A,EMT,26383.788564845094,1.2066758122473513
TCGA-E2-A14R-01A,OXPHOS,26383.683057355756,1.2066709868093715
TCGA-BH-A0DX-01A,OXPHOS,26383.657480664,1.2066698170465369
TCGA-AO-A0J9-01A,OXPHOS,26383.115251689775,1.2066450179322517
TCGA-E2-A14W-01A,OXPHOS,26382.276648280458,1.2066066639844248
TCGA-D8-A1JT-01A,OXPHOS,26381.41313881465,1.2065671709456036
TCGA-C8-A137-01A,OXPHOS,26378.284951026584,1.206424101707054
TCGA-A7-A13F-01A,OXPHOS,26375.876374153777,1.2063139442348922
TCGA-BH-A0HN-01A,OXPHOS,26375.752492132808,1.206308278428486
TCGA-E9-A54Y-01A,OXPHOS,26374.822257457898,1.2062657336787368
TCGA-BH-A204-11A,OXPHOS,26374.650999674923,1.2062579011180767
TCGA-E9-A22D-01A,OXPHOS,26373.68366074192,1.2062136593864607
TCGA-E9-A245-01A,OXPHOS,26373.635410853694,1.2062114526536056
TCGA-E9-A1N3-01A,OXPHOS,26372.72891427615,1.2061699935776538
TCGA-A2-A0EM-01A,OXPHOS,26371.948990891233,1.2061343233901949
TCGA-A8-A094-01A,OXPHOS,26371.823212711526,1.2061285708620169
TCGA-A7-A0DC-11A,OXPHOS,26371.61929392769,1.2061192445340898
TCGA-BH-A0H0-01A,OXPHOS,26371.271662085757,1.2061033454173198
TCGA-A2-A0YT-01A,OXPHOS,26370.298918546458,1.2060588565033221
TCGA-E2-A14S-01A,OXPHOS,26369.159913313637,1.2060067635273233
TCGA-A8-A081-01A,OXPHOS,26368.416148382905,1.2059727470649146
TCGA-B6-A1KI-01A,OXPHOS,26367.658890569073,1.2059381134987253
TCGA-BH-A0HX-01A,OXPHOS,26367.605879156155,1.2059356889951487
TCGA-AO-A12H-01A,OXPHOS,26367.021416823307,1.2059089583170095
TCGA-A7-A13E-11A,OXPHOS,26366.26941568519,1.2058745651675224
TCGA-A8-A08L-01A,OXPHOS,26366.007563547133,1.2058625892285626
TCGA-AO-A03P-01A,OXPHOS,26365.71390024335,1.2058491583899722
TCGA-OL-A66H-01A,OXPHOS,26364.120946288534,1.2057763038413323
TCGA-BH-A18N-01A,OXPHOS,26362.334109195264,1.2056945819500438
TCGA-A2-A0EX-01A,OXPHOS,26360.511817411254,1.2056112385206794
TCGA-A2-A04Y-01A,OXPHOS,26358.63724044626,1.2055255038023203
TCGA-BH-A1FD-11B,OXPHOS,26357.27431910683,1.2054631699108003
TCGA-E2-A1LK-01A,OXPHOS,26357.081688070462,1.2054543598336689
TCGA-BH-A0E6-01A,OXPHOS,26356.549814155624,1.205430034313222
TCGA-B6-A0IE-01A,OXPHOS,26355.07647863914,1.2053626505738968
TCGA-AR-A24K-01A,OXPHOS,26354.60531916849,1.2053411018590279
TCGA-A2-A0CX-01A,OXPHOS,26354.396265427917,1.205331540681277
TCGA-UL-AAZ6-01A,OXPHOS,26353.519200137307,1.2052914276600049
TCGA-BH-A6R9-01A,Mesenchymal,26353.270673436775,1.2052800611666186
TCGA-D8-A1XJ-01A,OXPHOS,26353.03769655428,1.2052694058519646
TCGA-AC-A3TM-01A,OXPHOS,26350.811565312146,1.2051675926222927
TCGA-B6-A0RM-01A,OXPHOS,26350.376496495184,1.2051476945315844
TCGA-E2-A1II-01A,OXPHOS,26349.75546165293,1.2051192911913715
TCGA-A8-A09I-01A,OXPHOS,26349.481050663984,1.205106740867063
TCGA-A8-A06Y-01A,OXPHOS,26348.812712969662,1.2050761741071692
TCGA-LL-A5YL-01A,OXPHOS,26348.437860898317,1.205059030059545
